sampno,vehno,vehicle_num,num_hh_vehicles,veh_year,veh_make,veh_make_other,veh_make_clean,veh_model,veh_model_other,veh_model_clean,fuel,fuel_clean,veh_type,veh_type_clean,vehicle_status,flag_hev,flag_phev,flag_fcev,flag_bev,obtain,company_car,current_acquired_year,current_acquired_month,annual_mileage,electric_percent,tnc_veh,tnc_miles,delivery,delivery_miles,mpg,replace_intent,current_primary_driver,primary_driver_id,company_acquired_year,fuel_pay,personal_miles,business_miles,company_primary_driver,company_primary_driver_id,other_drivers,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5
192967,192967.v03,3,4,2004,JEEP, ,JEEP,,,,1,1,6,6, ,0,0,0,0,3, ,2018,2,10000, ,2, ,2, ,20,3,1,192967.p01, , , , , , , , , , , , 
192978,192978.v03,3,3,2002,TOYOTA, ,TOYOTA,,,,1,1,12,12, ,0,0,0,0,1, ,2001, ,3000, ,2, ,2, ,20,4,2,192978.p02, , , , , , , , , , , , 
192976,192976.v02,2,2,2015,HONDA, ,HONDA,,,,1,1,10,10, ,0,0,0,0,3, ,2018,3,4000, ,2, ,2, ,18,5,1,192976.p01, , , , , , , , , , , , 
192989,192989.v02,2,3,2012,HONDA, ,HONDA,,,,1,1,3,3, ,0,0,0,0,1, ,2012, ,10000, ,2, ,2, ,25,5,1,192989.p01, , , , , , , , , , , , 
192983,192983.v01,1,2,2016,SUBARU, ,SUBARU,,,,1,1,7,7, ,0,0,0,0,1, ,2016, ,24000, ,2, ,2, ,27,3,1,192983.p01, , , , , , , , , , , , 
192991,192991.v02,2,4,1980,FORD, ,FORD,,,,1,1,13,13,3,0,0,0,0,1, ,1980, ,1000, ,2, ,2, ,20,6,2,192991.p02, , , , , , , , , , , , 
192994,192994.v02,2,2,2008,LEXUS, ,LEXUS,,,,1,1,2,2, ,0,0,0,0,1, ,2008, ,3000, ,2, ,2, ,18,2,2,192994.p02, , , , , , , , , , , , 
192988,192988.v02,2,3,2012,HONDA, ,HONDA,,,,1,1,6,6, ,0,0,0,0,1, ,2012, ,8000, ,2, ,2, ,40,5,2,192988.p02, , , , , , , , , , , , 
192987,192987.v02,2,4,2010,HONDA, ,HONDA,,,,1,1,1,1, ,0,0,0,0,1, ,2010, ,12000, ,2, ,2, ,28,4,1,192987.p01, , , , , , , , , , , , 
192996,192996.v01,1,1,2006,HYUNDAI, ,HYUNDAI,,,,1,1,3,3, ,0,0,0,0,3, ,2006, ,50, ,2, ,2, ,27,2,1,192996.p01, , , , , , , , , , , , 
192998,192998.v01,1,1,2018,KIA, ,KIA,,,,1,1,3,3, ,0,0,0,0,1, ,2018,1,7000, ,2, ,2, ,30,5,1,192998.p01, , , , , , , , , , , , 
